219dff00e###@@@###Andreas Beeker###@@@###2017-09-08###@@@###tag r1807825 as 3.17
8e0f3bd12###@@@###Andreas Beeker###@@@###2017-09-08###@@@###release prepare for 3.17 - updating build.xml and status.xml
b3b5add58###@@@###Dominik Stadler###@@@###2017-09-08###@@@###Remove incorrect copy-include in pom.xml
a2a4007a1###@@@###Andreas Beeker###@@@###2017-09-08###@@@###Add Removal annotation to xmlbeans generation
d4e621cab###@@@###Dominik Stadler###@@@###2017-09-08###@@@###Add Removal.java to fix Maven compilation
794716b0c###@@@###Andreas Beeker###@@@###2017-09-07###@@@###Add Removal annotation to xmlbeans generation
526dc01a5###@@@###Nick Burch###@@@###2017-09-07###@@@###Copy over and tweak PicturesSource from Apache Tika
8d17a6900###@@@###Andreas Beeker###@@@###2017-09-05###@@@###prepare for 3.18-beta1
00b1be55a###@@@###Andreas Beeker###@@@###2017-09-05###@@@###tag r1807428 as 3.17
ce7446c76###@@@###Andreas Beeker###@@@###2017-09-05###@@@###release prepare for 3.17 - updating build.xml and status.xml
d17deb618###@@@###Andreas Beeker###@@@###2017-09-05###@@@####61478 - POI OOXML-Schema lookup uses wrong classloader
60176900f###@@@###Tim Allison###@@@###2017-08-31###@@@###While working on 61475, need to add a new line after picture text...not worth separate ticket.
235d102f2###@@@###Tim Allison###@@@###2017-08-31###@@@###61475 -- append text from pictures only once...bug from my work on 61470.
3b32a00aa###@@@###Tim Allison###@@@###2017-08-30###@@@###61470 -- add extraction of content within ruby elements; allow users to concatenate or not concatenate phonetic strings.  Default is to concatenate.
914ae602b###@@@###Greg Woolsey###@@@###2017-08-29###@@@###Fixes bug #61468, caused by a confusing OOXML spec design as noted in JavaDocs added in r1795648.
de89d4cdc###@@@###Andreas Beeker###@@@###2017-08-28###@@@###prepare for 3.18-beta1
e67157d7e###@@@###Andreas Beeker###@@@###2017-08-28###@@@###tag r1806507 as 3.17
c9eff2a2b###@@@###Andreas Beeker###@@@###2017-08-28###@@@###release prepare for 3.17 - updating build.xml and status.xml
eedd4cf7f###@@@###Andreas Beeker###@@@###2017-08-28###@@@###sha512 checksums aren't yet supported by Nexus
20fa8328f###@@@###Dominik Stadler###@@@###2017-08-25###@@@###Verify that bug 61294 is fixed now, add some more coverage for IOUtils in general
34f35b2d0###@@@###Dominik Stadler###@@@###2017-08-24###@@@###Revert performance tuning done via Bug 61350 as it lead to problems when running multi-threaded large regression tests.
f7b7c8e89###@@@###Andreas Beeker###@@@###2017-08-20###@@@###prepare for 3.18-beta1
6dab12621###@@@###Andreas Beeker###@@@###2017-08-20###@@@###tag r1805580 as 3.17
bc839b285###@@@###Andreas Beeker###@@@###2017-08-20###@@@###release prepare for 3.17 - updating build.xml and status.xml
2108f8244###@@@###Dominik Stadler###@@@###2017-08-19###@@@###Fix 60384 and 60709: When shifting with merged regions we should correctly check if the region is moved along or needs to be removed because it is not fully kept via the shifting. This was broken by the fix for bug 59740, now additional unit tests ensure that it works better.
68a829067###@@@###Dominik Stadler###@@@###2017-08-19###@@@###Add more --add-opens for JDK 9
b23334551###@@@###Dominik Stadler###@@@###2017-08-19###@@@###Add more non-test classes in OOXMLLite and add another font-metric that appears
5e5adc70e###@@@###Greg Woolsey###@@@###2017-08-16###@@@###Bug 61431 - Conditional formatting evaluation ignores undefined cells
9bb61bfae###@@@###Nick Burch###@@@###2017-08-16###@@@###As per ".sha Release Distribution Policy" email, also generate .sha512 hashes for dist
91e74a749###@@@###Andreas Beeker###@@@###2017-08-13###@@@###exclude H21 from slave list
6f341568b###@@@###Andreas Beeker###@@@###2017-08-11###@@@####61381 - PushbackInputStreams passed to ZipHelper may not hold 8 bytes
9ae695284###@@@###Nick Burch###@@@###2017-08-10###@@@###Add an example of trying multiple passwords against an OOXML file. More a demo than anything, GPU enabled tools are much faster!
9fa3e36e9###@@@###PJ Fanning###@@@###2017-08-09###@@@###[Bug-61048] SXSSF module writes wrong escape sequence for carriage returns
ea97e64e0###@@@###Andreas Beeker###@@@###2017-08-05###@@@###notify dev@ when windows-1.7 fails
848a77318###@@@###Andreas Beeker###@@@###2017-08-01###@@@###add findbugs3 prefetch to Windows / JDK1.7 build
b3ad734de###@@@###Dominik Stadler###@@@###2017-08-01###@@@###Assert on the contents of the byte-array to see if the problem happens during writing the data or reading it back in
860452543###@@@###Dominik Stadler###@@@###2017-08-01###@@@###Jenkins DSL: Use latest available early access build of JDK 9 b179
c7e1fabf1###@@@###Dominik Stadler###@@@###2017-08-01###@@@###Reformat code slightly
ad9fa0cd2###@@@###Andreas Beeker###@@@###2017-07-31###@@@###Job DSL refactorings
d24e0da38###@@@###Andreas Beeker###@@@###2017-07-31###@@@###Job DSL fix windows call / retrieve findbugs via powershell
18053658c###@@@###Andreas Beeker###@@@###2017-07-31###@@@###Add Windows jobs
97f90ca83###@@@###Andreas Beeker###@@@###2017-07-31###@@@###Fix further Windows JVM 6 font rendering errors - OOM and EXCEPTION_ACCESS_VIOLATION
27fd9e4cb###@@@###Andreas Beeker###@@@###2017-07-31###@@@###remove invalid javadocs
e34e28685###@@@###Nick Burch###@@@###2017-07-31###@@@###Javadoc fixes
ff2bcdf62###@@@###Andreas Beeker###@@@###2017-07-30###@@@####61363 - Unify escher shape id allocation
b3c111a28###@@@###Andreas Beeker###@@@###2017-07-29###@@@###Add handling of alternate content elements
24138ef61###@@@###Dominik Stadler###@@@###2017-07-29###@@@###Jenkins-DSL: Print out the exact version of java in the pre-steps
f9b9c0d18###@@@###Greg Woolsey###@@@###2017-07-28###@@@###Deleting a sheet did not delete table parts and relations.  Deleting a table needs to also delete any queryTable relations and parts.
9f28e3643###@@@###PJ Fanning###@@@###2017-07-28###@@@###[Bug-61354] fix issue with extracting text from Word docs. This closes #66
